ID,Event Name,GUI,ALARM,LOG,SCRIPT,SNMP,THRESHOLD,TTL(Sec),SEVERITY
253,Duplicated licenses,True,False,False,False,False,12,312,Warning
254,License Limit Exceeded,True,False,False,False,False,12,312,Warning
255,License Expiration Date,True,False,False,False,False,12,312,Warning
403,Device Pending Reboot,True,False,False,False,False,12,312,Warning
504,UFM BackUp Finished,True,False,False,False,False,12,312,Warning
505,UFM BackUp Finished With Error,True,False,False,False,False,12,312,Warning
502,Device Upgrade Finished,True,False,False,False,False,12,312,Warning
503,UFM BackUp Started,True,False,False,False,False,12,312,Warning
397,Site Action Failed,True,False,False,False,False,12,312,Warning
604,Health Report,True,False,False,False,False,12,312,Warning
605,Health Report,True,False,False,False,False,12,312,Warning
603,Events Suppression,True,False,False,False,False,12,312,Warning
396,Site Action Started,True,False,False,False,False,12,312,Warning
395,Device Action Started,True,False,False,False,False,12,312,Warning
394,Module status FAULT,True,False,False,False,False,12,312,Warning
515,Fabric Health Report Info,True,False,False,False,False,12,312,Warning
514,SM LID Change,True,False,False,False,False,12,312,Warning
130,Non-optimal link width,True,False,False,False,False,12,312,Warning
110,Symbol Error,True,False,False,False,False,12,312,Warning
